Agente,Ganadas,PromedioTirosVictoria,PromedioTirosDerrota
Aleatorio,4091,55.1956,58.0359
Diagonales,5909,58.0359,54.1956
Aleatorio,4015,54.9268,58.0749
Diagonales,5985,58.0749,53.9268
Aleatorio,4069,55.0356,58.214
Diagonales,5931,58.214,54.0356
Aleatorio,4005,54.3925,57.9696
Diagonales,5995,57.9696,53.3925
Aleatorio,407638,54.9693,58.0617
Diagonales,592362,58.0617,53.9693
Aleatorio,40993,54.9313,58.0312
Diagonales,59007,58.0312,53.9313
Aleatorio,40686,54.9386,58.0687
Diagonales,59314,58.0687,53.9386
Aleatorio,40706,54.9334,58.0791
Diagonales,59294,58.0791,53.9334
Aleatorio,40700,55.0562,58.0636
Diagonales,59300,58.0636,54.0562
Aleatorio,40947,54.9291,58.062
Diagonales,59053,58.062,53.9291
Aleatorio,40622,55.0091,58.1092
Diagonales,59378,58.1092,54.0091
Aleatorio,40899,54.8628,58.0513
Diagonales,59101,58.0513,53.8628
Aleatorio,40783,54.9146,58.0635
Diagonales,59217,58.0635,53.9146
Aleatorio,40708,55.1001,58.0896
Diagonales,59292,58.0896,54.1001
Aleatorio,40925,54.9455,58.118
Diagonales,59075,58.118,53.9455
Aleatorio,40511,54.9316,58.077
Diagonales,59489,58.077,53.9316
Aleatorio,40774,54.9868,58.1146
Diagonales,59226,58.1146,53.9868
Aleatorio,40587,54.8803,58.0986
Diagonales,59413,58.0986,53.8803
Aleatorio,41014,55.0135,58.1434
Diagonales,58986,58.1434,54.0135
Aleatorio,40617,54.9886,58.0978
Diagonales,59383,58.0978,53.9886
Aleatorio,40672,54.9891,58.0836
Diagonales,59328,58.0836,53.9891
Aleatorio,40796,54.9093,58.072
Diagonales,59204,58.072,53.9093
Aleatorio,41053,54.9951,58.0693
Diagonales,58947,58.0693,53.9951
Aleatorio,40664,54.924,58.1227
Diagonales,59336,58.1227,53.924
Aleatorio,40505,54.9671,58.0734
Diagonales,59495,58.0734,53.9671
Aleatorio,40754,54.9219,58.0985
Diagonales,59246,58.0985,53.9219
Aleatorio,40990,54.9934,58.1107
Diagonales,59010,58.1107,53.9934
Aleatorio,40661,54.9492,58.0696
Diagonales,59339,58.0696,53.9492
Aleatorio,40888,54.9717,58.143
Diagonales,59112,58.143,53.9717
Aleatorio,40757,54.8853,58.1159
Diagonales,59243,58.1159,53.8853
Aleatorio,40520,54.9034,58.1334
Diagonales,59480,58.1334,53.9034
Aleatorio,40599,54.9942,58.1013
Diagonales,59401,58.1013,53.9942
Aleatorio,40537,54.9839,58.054
Diagonales,59463,58.054,53.9839
Aleatorio,41066,54.8519,58.0893
Diagonales,58934,58.0893,53.8519
Aleatorio,40784,54.9706,58.1481
Diagonales,59216,58.1481,53.9706
Aleatorio,40897,55.0609,58.0465
Diagonales,59103,58.0465,54.0609
Aleatorio,41103,55.0005,58.0275
Diagonales,58897,58.0275,54.0005
Aleatorio,40686,55.0352,58.0896
Diagonales,59314,58.0896,54.0352
Aleatorio,40654,54.9502,58.101
Diagonales,59346,58.101,53.9502
Aleatorio,40736,54.8944,58.114
Diagonales,59264,58.114,53.8944
Aleatorio,40689,55.0621,58.071
Diagonales,59311,58.071,54.0621
Aleatorio,40863,54.9088,58.1586
Diagonales,59137,58.1586,53.9088
Aleatorio,40509,54.9386,58.1499
Diagonales,59491,58.1499,53.9386
Aleatorio,40965,55.0002,58.0521
Diagonales,59035,58.0521,54.0002
Aleatorio,40868,54.9203,58.1342
Diagonales,59132,58.1342,53.9203
Aleatorio,40827,55.087,58.0774
Diagonales,59173,58.0774,54.087
Aleatorio,40525,54.9322,58.0333
Diagonales,59475,58.0333,53.9322
Aleatorio,40697,54.8983,58.0336
Diagonales,59303,58.0336,53.8983
Aleatorio,40947,54.9016,58.098
Diagonales,59053,58.098,53.9016
Aleatorio,40594,54.9663,58.0719
Diagonales,59406,58.0719,53.9663
Aleatorio,40885,54.9538,58.0879
Diagonales,59115,58.0879,53.9538
Aleatorio,40849,54.9655,58.0714
Diagonales,59151,58.0714,53.9655
Aleatorio,40696,54.9492,58.0339
Diagonales,59304,58.0339,53.9492
Aleatorio,40673,55.0127,58.0894
Diagonales,59327,58.0894,54.0127
Aleatorio,40834,54.9227,58.0665
Diagonales,59166,58.0665,53.9227
Aleatorio,40919,54.9776,58.0944
Diagonales,59081,58.0944,53.9776
Aleatorio,40639,54.9735,58.101
Diagonales,59361,58.101,53.9735
Aleatorio,40712,54.9036,57.9974
Diagonales,59288,57.9974,53.9036
Aleatorio,40989,54.9847,58.0766
Diagonales,59011,58.0766,53.9847
Aleatorio,40576,54.9032,58.1026
Diagonales,59424,58.1026,53.9032
Aleatorio,40664,54.9864,58.1064
Diagonales,59336,58.1064,53.9864
Aleatorio,40782,55.0006,58.0578
Diagonales,59218,58.0578,54.0006
Aleatorio,40590,54.9067,58.0265
Diagonales,59410,58.0265,53.9067
Aleatorio,40565,54.9362,58.0788
Diagonales,59435,58.0788,53.9362
Aleatorio,40741,55.0664,58.0806
Diagonales,59259,58.0806,54.0664
Aleatorio,40479,54.9364,58.0668
Diagonales,59521,58.0668,53.9364
Aleatorio,41000,54.9789,58.0501
Diagonales,59000,58.0501,53.9789
Aleatorio,40943,54.9487,58.0616
Diagonales,59057,58.0616,53.9487
Aleatorio,40992,54.9356,58.0746
Diagonales,59008,58.0746,53.9356
Aleatorio,40872,54.9955,58.1028
Diagonales,59128,58.1028,53.9955
Aleatorio,40621,54.8742,58.0699
Diagonales,59379,58.0699,53.8742
Aleatorio,40523,54.9224,58.0956
Diagonales,59477,58.0956,53.9224
Aleatorio,40935,54.9179,58.1071
Diagonales,59065,58.1071,53.9179
Aleatorio,40800,55.1169,58.0626
Diagonales,59200,58.0626,54.1169
Aleatorio,40856,55.0028,58.1185
Diagonales,59144,58.1185,54.0028
Aleatorio,40975,54.8385,58.0946
Diagonales,59025,58.0946,53.8385
Aleatorio,40884,55.0482,58.1446
Diagonales,59116,58.1446,54.0482
Aleatorio,40821,54.9564,58.1206
Diagonales,59179,58.1206,53.9564
Aleatorio,40789,54.977,58.1115
Diagonales,59211,58.1115,53.977
Aleatorio,40813,54.991,58.1102
Diagonales,59187,58.1102,53.991
Aleatorio,40894,55.0128,58.1217
Diagonales,59106,58.1217,54.0128
Aleatorio,40718,54.9831,58.122
Diagonales,59282,58.122,53.9831
Aleatorio,40679,54.8572,58.0341
Diagonales,59321,58.0341,53.8572
Aleatorio,40839,54.9729,58.0883
