Generacion,Fitness,W1,W2,W3,W4,W5
0,3594,1.24,-1.46,-0.2,-0.82,1.26
1,5831,0.7,-2.22,1.2,1.1,0.88
2,8684,0.7,-2.22,1.2,1.1,0.88
3,6638,0.7,-2.22,1.2,1.1,0.88
4,7692,0.7,-2.22,1.2,1.1,0.88
5,9320,0.7,-2.22,1.2,1.1,0.8701
6,9368,0.7,-2.22,1.2,1.39752,0.88
7,9345,0.7,-1.19214,1.2,1.1,0.88
8,7731,0.7,-2.22,1.2,1.39752,0.88
9,8598,0.7,-2.22,1.2,1.39752,0.88
10,6994,0.7,-2.22,1.2,1.39752,0.88
11,9666,0.7,-2.22,1.2,1.39752,0.88
12,7688,0.7,-2.22,1.2,1.39752,0.88
13,8810,0.7,-2.22,1.2,1.39752,0.88
14,8578,0.7,-1.56104,1.2,1.39752,0.88
15,8884,0.7,-2.22,1.2,1.39752,0.88
16,7941,0.7,-2.98744,1.2,1.39752,0.88
17,9780,0.7,-2.98744,1.2,1.39752,0.88
18,9322,0.7,-2.98744,1.2,1.39752,0.88
19,7632,0.7,-2.98744,1.2,1.39752,0.88
20,9355,0.697273,-3.39522,1.2,1.39752,0.88
21,9785,0.7,-5.30869,1.2,1.39752,0.88
22,8583,0.7,-3.39522,1.2,0.987607,0.88
23,8475,0.7,-5.30869,1.2,1.39752,0.88
24,10597,0.7,-5.30869,1.2,1.39752,0.88
25,7769,0.7,-4.13822,1.2,1.39752,0.88
26,8969,0.7,-5.30869,1.2,1.39752,0.88
27,8544,0.7,-4.13822,1.2,1.39752,0.88
28,8444,0.7,-5.30869,1.2,1.39752,0.88
29,10372,0.7,-4.06367,1.2,1.34899,0.88
30,8459,0.7,-4.35414,1.2,1.34899,0.88
31,7587,0.7,-5.30869,1.2,1.34899,0.88
32,8887,0.7,-4.06367,1.2,1.61536,0.88
33,9777,0.7,-5.30869,1.2,1.34899,0.88
34,8625,0.7,-5.30869,1.2,1.39752,0.88
35,9347,0.7,-5.30869,1.2,1.39752,0.88
36,9509,0.7,-5.30869,1.2,1.61536,0.88
37,8444,0.7,-4.06367,1.2,1.39752,0.88
38,8335,0.7,-4.06367,1.2,1.68547,0.88
39,9747,0.7,-3.52248,1.2,1.39752,0.88
40,9336,0.7,-5.30869,1.2,1.61536,0.88
41,8649,0.7,-3.19981,1.2,1.36014,0.88
42,8616,0.7,-5.12926,1.2,1.36014,0.88
43,8790,0.7,-5.12926,1.2,1.36014,0.88
44,7642,0.7,-5.30869,1.2,1.41492,0.88
